Designator,Mid X,Mid Y,Layer,Rotation
LED1,129.6388,28.6312,Top,0
LED2,134.6388,28.6312,Top,0
LED3,139.6388,28.6312,Top,0
LED4,144.6388,28.6312,Top,0
LED5,149.6388,28.6312,Top,0
LED6,154.6388,28.6312,Top,0
LED7,159.6388,28.6312,Top,0
LED8,164.6388,28.6312,Top,0
LED9,169.6388,28.6312,Top,0
LED10,174.6388,28.6312,Top,0
LED11,179.6388,28.6312,Top,0
LED12,184.6312,33.6388,Top,180
LED13,179.6312,33.6388,Top,180
LED14,174.6312,33.6388,Top,180
LED15,169.6312,33.6388,Top,180
LED16,164.6312,33.6388,Top,180
LED17,159.6312,33.6388,Top,180
LED18,154.6312,33.6388,Top,180
LED19,149.6312,33.6388,Top,180
LED20,144.6312,33.6388,Top,180
LED21,139.6312,33.6388,Top,180
LED22,134.6312,33.6388,Top,180
LED23,129.6312,33.6388,Top,180
LED24,124.6312,33.6388,Top,180
LED25,124.6388,38.6312,Top,0
LED26,129.6388,38.6312,Top,0
LED27,134.6388,38.6312,Top,0
LED28,139.6388,38.6312,Top,0
LED29,144.6388,38.6312,Top,0
LED30,149.6388,38.6312,Top,0
LED31,154.6388,38.6312,Top,0
LED32,159.6388,38.6312,Top,0
LED33,164.6388,38.6312,Top,0
LED34,169.6388,38.6312,Top,0
LED35,174.6388,38.6312,Top,0
LED36,179.6388,38.6312,Top,0
LED37,184.6388,38.6312,Top,0
LED38,189.6312,43.6388,Top,180
LED39,184.6312,43.6388,Top,180
LED40,179.6152,43.6388,Top,180
LED41,174.6312,43.6388,Top,180
LED42,169.6312,43.6388,Top,180
LED43,164.6312,43.6388,Top,180
LED44,159.6312,43.6388,Top,180
LED45,154.6312,43.6388,Top,180
LED46,149.6312,43.6388,Top,180
LED47,144.6152,43.6388,Top,180
LED48,139.6312,43.6388,Top,180
LED49,134.6312,43.6388,Top,180
LED50,129.6312,43.6388,Top,180
LED51,124.6312,43.6388,Top,180
LED52,124.6388,48.6312,Top,0
LED53,129.6388,48.6312,Top,0
LED54,134.6388,48.6312,Top,0
LED55,139.6388,48.6312,Top,0
LED56,144.6388,48.6312,Top,0
LED57,149.6388,48.6312,Top,0
LED58,154.6388,48.6312,Top,0
LED59,159.6388,48.6312,Top,0
LED60,164.6388,48.6312,Top,0
LED61,169.6388,48.6312,Top,0
LED62,174.6388,48.6312,Top,0
LED63,179.6388,48.6312,Top,0
LED64,184.6388,48.6312,Top,0
LED65,189.6388,48.6312,Top,0
LED66,189.6312,53.6388,Top,180
LED67,184.6312,53.6388,Top,180
LED68,179.6312,53.6388,Top,180
LED69,174.6312,53.6388,Top,180
LED70,169.6312,53.6388,Top,180
LED71,164.6312,53.6388,Top,180
LED72,159.6312,53.6388,Top,180
LED73,154.6312,53.6388,Top,180
LED74,149.6312,53.6388,Top,180
LED75,144.6312,53.6388,Top,180
LED76,139.6312,53.6388,Top,180
LED77,134.6312,53.6388,Top,180
LED78,129.6312,53.6388,Top,180
LED79,124.6312,53.6388,Top,180
LED80,124.6388,58.6312,Top,0
LED81,129.6388,58.6312,Top,0
LED82,134.6388,58.6312,Top,0
LED83,139.6388,58.6312,Top,0
LED84,144.6388,58.6312,Top,0
LED85,149.6388,58.6312,Top,0
LED86,154.6388,58.6312,Top,0
LED87,159.6388,58.6312,Top,0
LED88,164.6388,58.6312,Top,0
LED89,169.6388,58.6312,Top,0
LED90,174.6388,58.6312,Top,0
LED91,179.6388,58.6312,Top,0
LED92,184.6388,58.6312,Top,0
LED93,189.6388,58.6312,Top,0
LED94,194.6388,58.6312,Top,0
LED95,194.6312,63.6388,Top,180
LED96,189.6312,63.6388,Top,180
